id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1052571473370793637,Elegant 1 BR Condo with Balcony & CITY VIEW,407912988,Dave,,Waterfront Communities-The Island,43.6441277,-79.38940579999999,Entire home/apt,149,1,2,2024-02-08,2,8,228,2,STR-2206-FKGRVB
1052574383897140226,Luxurious 2BR- 2Bathroom with CN Tower & LAKE VIEW,407912988,Dave,,Waterfront Communities-The Island,43.6441277,-79.38940579999999,Entire home/apt,158,28,0,,,8,232,0,
1052608907440102464,DownTown Toronto free parking,537577408,Tuombe Janvier John,,Niagara,43.63734,-79.40361,Private room,188,1,0,,,2,251,0,STR-2309-FRZKVQ
1052769220105189480,Entire 3BR Detached House:Near Downtown & Lake!,207535563,Alireza,,Greenwood-Coxwell,43.6713567651827,-79.31958523365782,Entire home/apt,121,28,0,,,4,327,0,
1055234366475751842,Dt Toronto 3 Bdrm 1 Parking,34304153,Kim Jennifer,,Kensington-Chinatown,43.64863,-79.40425,Entire home/apt,175,2,0,,,2,64,0,STR-2305-GMRXVT
1052815925194288793,Idyllic Brockton Village 1 Bdrm Bsmt - Low Ceiling,147540804,Allen,,Little Portugal,43.64984,-79.4351,Entire home/apt,55,28,1,2024-01-30,1,1,137,1,
1052819768284139639,Stunning 2BR + Den Yorkville,550083494,Sukhdeep,,Annex,43.66961,-79.39409,Entire home/apt,198,28,0,,,2,270,0,
1052836149800412148,Luxurious Apartment In Toronto,552270929,Robert G,,Waterfront Communities-The Island,43.64511402745183,-79.38983183234753,Entire home/apt,192,3,7,2024-02-13,5.83,1,53,7,STR-2311-JDYHHZ
1055243545686613653,Bloordale Townhome | Walkers Paradise | Parking,548844337,Paramjit,,Dovercourt-Wallace Emerson-Junction,43.66033,-79.4443,Entire home/apt,,2,0,,,1,0,0,STR-2312-FFXDVP
1055263129859613619,Shared Space-Bus Stop In Front,549506892,Esteban,,Bedford Park-Nortown,43.72893083552018,-79.41720044190603,Shared room,24,28,0,,,11,270,0,
1052861172989311753,4 bedrooms in the Greek Town,546980639,Marjana,,Danforth East York,43.68734933707653,-79.34687262858887,Entire home/apt,270,1,0,,,3,269,0,STR-2311-HDXBHW
1055271967906093644,Modern 3 Bedroom/2 Bath Home,41374570,Luis,,Bathurst Manor,43.7591388,-79.45125209999999,Entire home/apt,237,2,3,2024-02-06,1.96,1,137,3,STR-2312-GCKDVS
1052931628199336598,High Park Sanctuary,139177676,Sacha,,Junction Area,43.662003266198184,-79.46782708682294,Entire home/apt,111,28,0,,,3,65,0,
1052988896596329086,Midtown Marvelous Maison,552305751,Javi,,Mount Pleasant West,43.70391,-79.39611,Entire home/apt,133,31,0,,,1,24,0,
1055329877207238723,Master Suite Downtown Toronto,551448985,Steve,,Trinity-Bellwoods,43.65542231391807,-79.40767215469194,Private room,31,28,1,2024-01-08,0.77,8,65,1,
1053053765462857924,Downtown View Apartment,533169045,City,,Church-Yonge Corridor,43.65857,-79.38082,Entire home/apt,98,28,0,,,2,216,0,
1053228192447159975,Amazing one bedroom unit in Etobicoke,149906054,Oscar,,Rexdale-Kipling,43.7262254,-79.56918979999999,Entire home/apt,75,28,0,,,3,182,0,
1053254348224096882,Luxury 2-Bedroom Oasis at College & Bathurst!,552353999,Ivan,,Palmerston-Little Italy,43.65645959671515,-79.40924827149874,Entire home/apt,719,2,0,,,1,365,0,STR-2309-GGWXVS
1053372809437539904,2 Bedroom in The City,544043510,Nancy,,Long Branch,43.589262504391705,-79.53856250793358,Entire home/apt,160,1,1,2023-12-30,0.63,4,258,1,STR-2310-FRRBHQ
1053533417955366633,Downtown Elegance Luxury Condo,336901509,Vince,,Waterfront Communities-The Island,43.644510028714976,-79.39072815219095,Entire home/apt,175,30,0,,,1,269,0,
1055337384485348332,Spacious 3-Story Townhome,58209708,Tania,,Niagara,43.64337972610759,-79.40490217051769,Entire home/apt,450,3,1,2024-02-04,1,1,146,1,STR-2305-FRRXVQ
1053593643248634544,Cosy Coach House in Toronto,552292355,Monica,,Junction Area,43.662576249820276,-79.46024007557448,Entire home/apt,65,28,0,,,1,363,0,
1055349226058273486,Master Bedroom Downtown Toronto,551448985,Steve,,Trinity-Bellwoods,43.6538500277633,-79.40795377257706,Private room,32,28,0,,,8,59,0,
1053643455089482650,Private Room In Modern Townhouse,205125436,Jianjun,,L'Amoreaux,43.792864462104184,-79.31115865539351,Private room,54,1,3,2024-02-12,2.20,6,229,3,STR-2310-FPTPHQ
1055356388959183376,private unit monthly rental,536540622,Aimei,,Caledonia-Fairbank,43.6858731599174,-79.46032253240833,Entire home/apt,88,31,0,,,8,90,0,
1055358251292885297,Close To Airport Luxury 3 Brm Free WiFi & Parking,470623298,Jasmine,,Islington-City Centre West,43.61982144597129,-79.52257125020786,Entire home/apt,191,28,0,,,1,267,0,
1053707385487701898,Whole 2-Bedroom on Ossington Strip,24457922,Husain,,Trinity-Bellwoods,43.6485554,-79.4207373,Private room,125,1,1,2024-02-04,1,2,24,1,STR-2304-JCRVHZ
1056610569957564896,2 BR Waterfront Condo Downtown w/ free Parking,254096899,Chris,,Niagara,43.63744,-79.40675,Entire home/apt,190,2,7,2024-01-27,5.12,3,75,7,STR-2312-GGMRVS
1056756944031742339,Comfy 1 bedroom + Den w/Parking,528723980,Yuly,,Waterfront Communities-The Island,43.640457065983846,-79.39717379441595,Entire home/apt,107,31,0,,,1,84,0,
1055358573322540075,private unit monthly rental,536540622,Aimei,,Caledonia-Fairbank,43.68789606976999,-79.45942101113084,Entire home/apt,88,31,0,,,8,90,0,
1055360399079313295,private unit monthly rental,536540622,Aimei,,Caledonia-Fairbank,43.685929004649985,-79.46105645729861,Entire home/apt,88,31,0,,,8,90,0,
1055361786067052016,private unit monthly rental,536540622,Aimei,,Caledonia-Fairbank,43.68785,-79.4608,Entire home/apt,88,31,0,,,8,90,0,
1055363028606773128,Private Unit with 2 Bedroom Sleep3 Toronto,536540622,Aimei,,Caledonia-Fairbank,43.68660170603936,-79.46073962840916,Entire home/apt,88,2,0,,,8,75,0,STR-2202-GRYDVG
1055380988826630871,Spacious Private Bedroom/ Private Bath Toronto,551448985,Steve,,Kensington-Chinatown,43.65205035918616,-79.40185760769,Private room,47,28,0,,,8,152,0,
1055391062909908446,Downtown Toronto Private Studio,551448985,Steve,,Kensington-Chinatown,43.65350817110765,-79.400320479246,Entire home/apt,,28,0,,,8,22,0,
1056780624196554093,Paradise Birds 1 Bedroom in Downtown,553213522,Samir,,Waterfront Communities-The Island,43.6433829826227,-79.39056877681563,Entire home/apt,177,1,0,,,2,274,0,STR-2401-JBVXVZ
1056804199557585708,Comfy Bungalow in Midtown TO,70972776,Mike,,Humewood-Cedarvale,43.69011117836063,-79.43316640901268,Entire home/apt,125,2,0,,,1,190,0,STR-2312-GTMRVV
1055396931389736523,Private Suite Smart TV Downtown Toronto,551448985,Steve,,Kensington-Chinatown,43.65184,-79.40013,Entire home/apt,,28,0,,,8,23,0,
1056812415190132328,Modern apartment in North York Skyscraper,553222033,Maxim,,Willowdale East,43.75978133951732,-79.40954340400413,Entire home/apt,220,1,1,2024-01-21,1,2,217,1,STR-2312-GVDDVV
1055416697998809858,Cozy Ensuite for Solo Traveller Downtown Toronto,551448985,Steve,,Kensington-Chinatown,43.652872059728686,-79.39992966691354,Private room,36,28,0,,,8,166,0,
1056826796434488517,Two Level Townhouse w/Parking,529130894,Marina,,Waterfront Communities-The Island,43.64110691651611,-79.39640909116433,Entire home/apt,179,31,0,,,1,90,0,
1056834936264761368,Charming 3-Bedroom Home in North York,553227679,Lolita,,Lansing-Westgate,43.762181921632575,-79.41580345114788,Entire home/apt,375,2,0,,,2,296,0,STR-2312-GJYKVS
1055447865525598240,Peaceful and comfortable room,552253792,Srikant,,West Hill,43.7722,-79.16374,Private room,40,1,1,2024-01-11,0.86,1,268,1,STR-2209-FHTXVB
1056843911727441539,"Private Room, & Bathroom Downtown Toronto",508046575,Jeffrey,,North Riverdale,43.66731,-79.35019,Private room,42,28,0,,,36,70,0,
1056882049851299906,Large 3 bedrooms unit w/parking,529134862,Ricardo,,Waterfront Communities-The Island,43.64084,-79.39661,Entire home/apt,169,31,0,,,1,85,0,
1056928506074115307,Lovely 3 bed+2 Bathroom/Kitchen/Dining/Living/Wifi,174661737,Gene & Amy,,Bedford Park-Nortown,43.71826,-79.42895,Entire home/apt,130,29,0,,,42,337,0,
1055505506587492542,Huge comfortable Living Room and a Cozy Bedroom,552452753,Clive,,Downsview-Roding-CFB,43.7307929,-79.5101318,Private room,85,3,0,,,1,270,0,STR-2312-FKRDVP
1057093193616827491,Heart of North York,515739803,Fatima,,Newtonbrook West,43.79099067927113,-79.42676133668833,Entire home/apt,110,1,0,,,1,269,0,STR-2312-GVFKVV
1055709602063804934,Downtown Toronto condo with free parking,254096899,Chris,,Waterfront Communities-The Island,43.64082832130406,-79.39844023892972,Entire home/apt,179,2,5,2024-01-28,3.75,3,47,5,STR-2312-HGLKVW
1057188789140385732,Loft-style 700+ sqft Condo,20439384,Lance,,Church-Yonge Corridor,43.65170396979089,-79.37683571507576,Entire home/apt,110,90,0,,,1,269,0,
1057224957259117393,2 bedroom beautiful house,546980639,Marjana,,Danforth East York,43.68711,-79.34535,Entire home/apt,179,1,0,,,3,270,0,STR-2311-HDXBHW
1057231242228601273,Beautiful Room A - private suite bath,536866698,Kun,,Agincourt South-Malvern West,43.78865399473121,-79.2451603758512,Private room,,28,1,2024-02-08,1,3,56,1,
1055727687575474458,Family Home by the Humber,35029107,Joe,,Lambton Baby Point,43.663343536129304,-79.49956222094289,Entire home/apt,200,28,0,,,1,102,0,
1055784974970927264,Vihome-Basement Double Room Near Eglinton Station,551613279,Kai Yuan,,Yonge-Eglinton,43.70254,-79.40296,Private room,86,28,0,,,9,269,0,
1057255697265743403,Beautiful Room B - private bath,536866698,Kun,,Agincourt South-Malvern West,43.78852,-79.24487,Private room,,28,1,2024-01-30,1,3,99,1,
1057287165696298323,Beautiful Room C+private bath+living - Basement,536866698,Kun,,Agincourt South-Malvern West,43.79006,-79.24347,Private room,38,28,1,2024-01-31,1,3,93,1,
1055795822844924742,Vihome-Basement Double Room Near Subway,551613279,Kai Yuan,,Yonge-Eglinton,43.70407,-79.40163,Private room,79,28,0,,,9,269,0,
1055800618737445946,Free Parking | 11 Feet High Ceilings | Fireplace,313399388,Naseeruddin,,Niagara,43.6370379,-79.4063934,Entire home/apt,149,2,0,,,1,175,0,STR-2306-GYPKVV
1057289698974973376,Clean and Cozy 1bR + Balcony,353113443,Michael,,Little Portugal,43.64164,-79.42498,Entire home/apt,150,2,0,,,2,173,0,STR-2206-GZBXVH
1055813834288388172,Quiet Double Bedroom Near UTSC,551613279,Kai Yuan,,Highland Creek,43.783877015597135,-79.1769183470331,Private room,95,28,0,,,9,269,0,
1057296954500256767,Bright Dufferin Grove Apartment,12738916,Clancy,,Little Portugal,43.65182141781911,-79.43035950339429,Entire home/apt,62,28,0,,,1,133,0,
1055826647228071430,Stylish 1BR Executive Suite - Great Location!,552940946,Ruby,,Waterfront Communities-The Island,43.64704,-79.39151,Entire home/apt,110,28,0,,,1,260,0,
1057313231139741369,Modern Cozy Condo Queen West,352729759,Hayleigh,,Waterfront Communities-The Island,43.6471229,-79.4013879,Entire home/apt,181,2,0,,,1,113,0,STR-2312-HYYKVZ
1057332348820306459,Spacious room with a view,553345502,Davy'S,,West Humber-Clairville,43.7401008,-79.5941046,Private room,120,1,0,,,1,265,0,STR-2401-HJRDVX
1057338807749690847,Cozy NewReno suit stepMetro Facing Willowdale Park,551728282,Michael,,Willowdale East,43.76822,-79.40559,Private room,80,1,0,,,4,270,0,STR-2310-HLVVHX
1057390511798317928,Spacious Room,471902440,Trang,,Downsview-Roding-CFB,43.72546754870614,-79.48889744563796,Private room,34,28,0,,,8,211,0,
1057424907143898795,"Ecoapt, design that illuminates",25160312,Calvin,,Dovercourt-Wallace Emerson-Junction,43.66342,-79.4423,Entire home/apt,125,2,1,2024-01-02,0.67,2,69,1,STR-2212-GDXPHS
1057425950550417049,Modern 1Bd+Den Apartment Lillian St,553301853,Gela,,Mount Pleasant West,43.70693221652023,-79.39518201675051,Entire home/apt,192,1,0,,,2,243,0,STR-2312-JBDDVZ
1057430569103021297,Urban oasis retreat,552931941,Yuriy,,Oakwood Village,43.6839399,-79.4409469,Entire home/apt,125,28,0,,,1,223,0,
1057518122502853123,cozy M2 private Rm by DonMills Station/SenecaColle,224870607,Kara,,Hillcrest Village,43.81491,-79.34175,Private room,35,1,0,,,11,89,0,
1057567076273713032,Spacious One Bedroom Home FreeParking Toronto,553414283,Peter,,Malvern,43.81524,-79.2148,Entire home/apt,68,28,0,,,1,84,0,
1055832743097240005,Swansea Bloor West Studio apt,13089291,Jeff,,High Park-Swansea,43.64884084417182,-79.47556205805415,Entire home/apt,70,28,0,,,1,73,0,
1057570381810631079,Cozy bedroom!,100696745,Poonam,,Dovercourt-Wallace Emerson-Junction,43.65997,-79.44808,Private room,58,28,0,,,2,206,0,
1057894575747756699,Central Toronto | Yonge-Bloor,71575422,Mladen,,Church-Yonge Corridor,43.6685778,-79.3844795,Entire home/apt,104,28,0,,,1,202,0,
1057929286925165858,Helen home,316775763,Chang,,Bendale,43.76818,-79.25963,Private room,59,3,3,2024-02-03,2.31,3,75,3,STR-2306-JGHKVZ
1057985995728959351,Shared Room-Near Leslie Station,549506892,Esteban,,Don Valley Village,43.77598,-79.36383,Shared room,23,28,0,,,11,270,0,
1055838791579770921,"Little Italy, large, bright apt.",552817447,Jack,,Palmerston-Little Italy,43.65886253400375,-79.41632982109506,Entire home/apt,158,2,1,2024-01-22,1,1,39,1,STR-2206-HQRDVK
